wellDepthFt,precip48hIn,soilMoisturePct,slopePct,usgsBaselineMgL,nitrateMgL
40.0,0.32,38.7,1.9,4.4,11.06
40.0,0.61,36.6,5.4,10.0,14.52
227.0,2.36,36.8,4.0,8.4,9.84
227.0,1.9,27.3,1.4,9.8,7.93
62.0,1.36,25.1,7.2,10.1,15.95
62.0,1.12,36.0,3.2,7.9,16.87
275.0,1.06,35.6,0.9,7.9,5.79
275.0,0.45,46.3,2.0,6.6,6.13
280.0,0.21,24.6,2.0,7.0,3.42
280.0,0.12,27.4,1.9,7.3,4.3
465.0,1.1,24.3,4.0,6.2,3.83
465.0,0.27,14.8,2.3,8.2,3.99
110.0,1.35,37.1,6.3,2.8,9.23
110.0,0.44,27.7,1.5,6.0,5.17
300.0,1.13,22.8,4.6,7.2,6.12
300.0,0.34,37.5,3.8,5.6,4.42
300.0,2.25,28.2,3.7,7.4,6.67
300.0,0.33,24.2,2.3,6.1,3.25
300.0,0.57,38.0,2.7,7.0,5.7
300.0,0.63,33.3,2.9,7.4,5.67
438.5,1.73,33.2,0.6,5.4,4.81
438.5,0.8,34.5,0.5,8.3,4.35
240.0,0.17,15.9,7.3,5.7,6.83
240.0,0.05,19.1,10.0,8.2,8.73
378.0,0.58,36.8,2.5,7.4,7.66
378.0,1.06,36.6,11.5,6.3,8.44
500.0,0.83,25.0,3.1,7.8,4.15
500.0,0.95,42.5,3.7,3.8,4.1
340.0,0.05,30.4,2.6,8.7,3.8
340.0,0.02,25.9,2.9,4.5,3.27
471.0,0.83,40.8,3.0,7.3,5.11
471.0,0.43,31.9,3.1,7.3,4.14
362.0,1.49,42.4,8.7,6.4,9.24
362.0,2.27,40.9,6.1,7.9,11.01
169.0,0.36,36.9,1.7,8.7,6.62
169.0,1.34,49.2,0.5,7.4,10.03
370.0,0.3,23.1,3.2,10.6,5.55
370.0,0.8,19.4,4.5,5.4,3.8
220.0,2.46,33.1,7.6,7.0,12.49
220.0,2.12,24.4,6.0,4.9,8.97
701.0,3.42,30.4,6.7,6.9,7.58
701.0,2.06,35.2,4.2,10.5,8.54
1500.0,0.01,16.5,2.3,11.8,4.48
1500.0,0.04,21.9,2.6,6.2,2.28
347.0,0.74,42.9,7.4,2.4,6.48
347.0,0.39,37.0,4.4,4.7,6.51
200.0,2.05,30.9,1.3,5.8,7.17
200.0,0.25,23.6,2.6,6.3,4.2
590.0,0.02,25.6,1.1,8.5,3.79
590.0,0.26,27.8,2.2,8.3,3.81
555.0,0.36,29.8,3.0,5.7,3.9
555.0,1.99,28.9,0.5,3.5,4.15
253.0,0.37,21.5,2.9,7.1,4.67
253.0,0.06,22.8,2.7,4.8,3.29
51.0,1.36,21.1,2.8,6.2,9.5
51.0,0.06,17.1,2.8,9.1,6.78
345.0,2.3,31.0,2.9,8.1,6.8
345.0,1.55,24.2,3.6,8.1,5.27
31.0,0.61,28.4,2.8,5.8,10.43
31.0,1.77,27.2,1.5,8.1,14.33
1288.0,1.92,39.0,1.6,4.5,3.12
1288.0,0.21,40.9,1.8,7.1,4.19
140.0,3.69,38.5,1.8,8.2,13.43
140.0,0.19,41.7,3.7,7.1,8.12
455.0,0.33,40.1,2.8,8.3,5.73
455.0,0.8,39.2,3.9,8.0,5.62
52.0,0.35,38.2,2.9,6.8,11.28
52.0,0.79,40.4,2.5,7.4,12.72
76.0,0.39,21.7,2.1,9.5,6.66
76.0,0.78,16.4,2.8,9.1,7.28
47.0,2.17,39.6,2.9,7.3,18.38
47.0,0.76,23.6,1.8,6.4,8.29
1301.0,0.09,19.4,4.5,5.4,2.07
1301.0,0.1,23.2,2.6,9.0,3.45
38.0,1.89,41.8,4.7,10.1,20.19
38.0,0.76,33.0,4.9,6.1,12.93
586.0,0.29,19.1,4.3,6.2,3.44
586.0,0.21,14.4,2.8,6.1,2.81
24.0,1.5,31.7,2.9,7.4,15.62
24.0,2.16,31.2,1.1,6.3,17.7
340.0,1.41,35.2,2.6,7.8,6.76
340.0,0.06,30.8,1.2,8.3,4.84
45.0,1.69,41.0,3.6,10.0,17.94
45.0,0.86,31.8,3.2,7.9,11.5
41.0,0.0,28.4,2.6,7.5,7.5
41.0,0.24,25.7,1.0,6.6,6.51
259.0,1.02,29.9,8.1,8.3,9.64
259.0,0.07,23.0,6.4,7.4,6.87
303.0,0.01,14.4,4.0,6.2,3.61
303.0,0.28,21.7,4.5,4.6,2.39
208.0,0.29,19.5,3.1,7.6,4.37
208.0,0.12,26.4,1.1,10.5,4.86
41.0,0.65,40.5,0.8,6.8,12.25
41.0,1.24,34.9,1.8,7.1,13.83
38.0,1.63,38.3,3.0,8.3,16.91
38.0,2.7,38.5,3.0,6.0,21.17
32.6,0.29,28.0,2.6,8.2,8.88
32.6,0.93,35.9,3.8,6.4,13.34
1240.0,2.0,37.9,0.7,8.1,4.36
1240.0,0.94,34.0,1.9,7.2,3.12
140.0,1.13,22.7,4.4,7.3,6.79
140.0,0.45,23.6,2.5,10.4,6.54
87.0,0.03,24.9,1.9,9.7,6.23
87.0,0.3,18.8,2.7,8.8,6.51
521.0,0.01,19.3,3.9,9.6,4.29
521.0,0.16,18.6,5.1,6.0,3.01
200.0,0.78,21.8,2.2,6.2,4.97
200.0,0.48,21.2,4.0,8.2,5.09
745.0,2.46,35.4,2.9,6.3,5.43
745.0,0.25,46.0,1.1,9.1,4.91
405.0,2.16,40.0,2.4,7.5,6.97
405.0,2.91,39.9,1.1,8.1,7.58
170.0,0.66,37.6,1.9,6.7,6.25
170.0,1.03,41.3,2.5,9.3,8.41
581.0,0.42,40.0,2.2,5.0,4.1
581.0,0.25,34.6,1.8,7.3,3.49
345.0,0.32,31.9,3.8,4.7,3.49
345.0,1.1,35.3,3.2,7.9,6.16
208.0,0.17,23.2,3.8,8.5,4.82
208.0,0.01,12.0,2.7,8.8,4.66
600.0,0.2,30.4,3.8,9.2,4.09
600.0,0.15,29.7,3.3,6.0,3.71
112.0,1.73,31.4,2.4,7.5,9.94
112.0,1.12,33.8,5.5,7.3,9.77
150.0,0.27,16.6,3.1,10.1,5.59
150.0,0.26,27.0,3.0,6.7,5.26
615.0,0.88,30.1,4.3,9.3,4.52
615.0,0.98,35.7,3.3,6.7,4.47
385.0,0.35,27.8,1.4,5.4,2.45
385.0,0.33,36.8,1.8,5.9,4.73
701.0,0.65,33.7,4.4,7.2,3.69
701.0,3.02,26.9,0.8,9.7,6.05
87.0,0.25,26.3,3.3,7.4,6.3
87.0,0.14,20.6,1.7,5.4,3.93
215.0,0.07,29.0,2.8,5.4,4.41
215.0,0.04,20.9,1.4,7.4,3.27
375.0,1.48,43.0,1.9,7.1,6.14
375.0,1.65,36.7,2.7,7.3,6.18
50.0,0.22,18.7,1.8,5.0,4.99
1203.0,0.46,26.5,1.7,6.0,2.82
1203.0,0.2,32.7,1.6,8.3,3.81
235.0,1.05,42.1,2.4,10.1,7.75
235.0,3.05,27.6,2.9,5.8,8.52
517.0,0.3,29.8,4.6,6.2,3.08
517.0,0.14,23.7,3.3,7.3,3.14
191.0,0.25,38.3,2.9,11.0,7.27
191.0,1.91,45.7,1.1,5.9,9.18
1325.0,1.24,31.0,3.3,8.3,3.63
1325.0,3.26,34.5,2.7,9.2,5.37
973.0,0.9,36.4,1.3,8.6,4.37
973.0,0.61,37.1,4.1,7.4,3.93
67.0,2.26,30.6,9.3,5.6,18.95
67.0,1.25,39.5,6.9,5.2,16.75
55.0,0.73,34.5,3.1,7.3,10.95
55.0,0.56,20.5,3.7,6.0,7.7
127.0,0.03,18.2,2.4,7.3,4.47
127.0,0.02,24.4,3.9,7.2,5.2
373.0,1.75,23.4,4.3,7.3,5.24
373.0,1.69,36.3,1.4,7.3,5.25
663.0,1.04,38.7,1.5,4.9,3.33
663.0,0.65,35.7,3.1,7.5,4.2
329.0,0.91,36.1,1.9,5.9,4.48
329.0,1.68,47.4,3.7,4.7,6.72
469.0,0.18,40.4,1.2,8.6,4.97
469.0,0.85,35.9,2.4,6.2,4.66
36.5,0.0,22.9,2.1,7.2,6.13
36.5,0.13,17.1,5.0,7.2,7.33
30.0,0.54,24.5,2.1,6.4,7.8
30.0,1.44,37.0,0.5,6.0,15.75
442.0,3.72,35.6,6.0,8.9,11.11
442.0,1.43,40.0,10.5,7.3,8.55
63.5,0.25,26.6,3.2,7.4,7.13
63.5,0.22,35.8,2.1,9.4,9.34
160.0,0.26,24.7,1.3,9.0,4.79
160.0,0.22,29.5,0.9,8.0,6.2
226.0,2.22,43.3,1.8,10.4,10.56
226.0,0.55,37.8,3.3,5.3,4.97
38.0,0.86,16.5,5.1,6.8,10.09
1250.0,2.07,37.5,3.0,7.7,4.69
1250.0,2.64,35.3,1.6,8.4,5.15
85.0,1.37,15.5,2.8,7.9,8.45
85.0,0.15,24.9,2.0,7.8,6.22
225.0,4.5,45.1,8.1,8.3,16.91
225.0,0.69,38.4,9.8,6.8,10.12
550.0,0.9,32.3,1.9,9.8,5.06
550.0,0.69,36.7,1.3,5.8,4.19
362.0,1.59,33.7,7.2,5.7,7.99
362.0,1.78,37.7,2.5,4.6,7.19
531.0,2.72,36.9,0.8,5.7,6.32
531.0,1.28,32.6,2.2,10.9,6.52
294.0,1.79,36.0,3.8,9.6,8.35
294.0,2.25,39.4,1.8,5.1,6.87
185.0,0.01,12.7,1.7,9.9,5.1
185.0,0.24,31.3,1.4,6.8,4.66
681.0,2.45,29.7,2.2,7.8,4.58
681.0,0.75,39.9,1.2,7.8,4.49
531.0,0.24,34.2,2.0,7.9,4.22
531.0,0.42,35.7,4.3,7.2,5.18
645.0,0.37,19.7,4.6,5.4,3.03
645.0,0.01,28.1,3.5,5.6,2.58
805.0,1.53,34.5,6.9,10.0,7.22
805.0,1.26,30.3,7.5,8.5,6.48
381.0,0.11,24.6,2.7,8.6,3.6
381.0,0.13,15.2,3.0,4.3,3.06
44.0,0.52,17.9,1.7,5.4,6.65
44.0,0.01,25.5,3.1,5.7,6.08
974.0,0.02,33.8,1.3,10.8,5.29
974.0,0.64,36.4,1.4,6.9,4.16
147.0,0.03,18.0,1.8,7.4,4.89
147.0,0.59,20.7,3.0,6.7,4.63
52.0,1.1,31.1,3.7,7.2,12.04
52.0,2.8,33.2,3.2,7.4,16.98
91.5,0.26,35.1,3.7,8.2,8.84
91.5,0.12,28.7,2.4,6.0,6.09
101.0,0.04,20.0,2.2,5.5,4.26
101.0,0.01,16.7,5.1,7.2,6.04
215.0,1.63,41.7,2.5,9.8,8.86
215.0,1.2,34.7,2.3,8.2,7.39
778.0,0.04,20.2,2.8,7.5,3.73
778.0,0.14,27.7,1.4,3.4,1.66
65.0,0.52,31.3,4.2,5.7,8.5
65.0,0.26,15.8,2.1,9.4,7.26
586.0,0.82,36.2,10.0,7.4,7.36
586.0,2.61,30.4,5.5,7.7,7.7
225.0,0.79,42.9,9.0,9.0,11.01
225.0,2.37,29.4,7.8,7.8,11.89
748.0,0.06,27.5,3.4,8.4,4.53
748.0,0.13,17.1,2.4,3.3,2.11
1245.0,1.09,34.9,2.0,8.0,3.76
1245.0,1.35,37.6,3.5,5.5,3.79
81.0,2.06,37.7,3.8,6.0,13.11
81.0,0.16,34.5,5.0,5.3,7.51
42.0,1.99,32.4,3.7,6.0,15.73
42.0,0.24,28.2,2.0,5.5,7.35
357.0,0.59,24.5,3.8,2.3,2.83
357.0,0.38,12.8,1.8,7.0,4.06
207.0,0.21,28.6,4.5,7.3,4.58
207.0,0.14,17.8,2.3,7.4,4.38
38.0,1.97,27.4,2.7,6.9,14.15
38.0,0.43,15.6,0.5,4.5,6.02
1500.0,0.0,14.7,2.7,6.6,2.35
1500.0,0.16,28.7,3.0,6.9,3.22
810.0,0.02,18.2,2.9,9.1,3.76
810.0,0.06,21.7,4.9,4.0,1.46
59.0,1.69,40.6,2.9,6.2,14.89
59.0,0.64,37.7,1.9,3.3,9.16
455.0,0.35,17.1,2.3,6.8,3.19
455.0,0.27,24.2,2.8,7.0,3.54
370.0,1.39,37.9,3.4,8.3,6.54
370.0,0.21,32.8,1.7,6.2,4.0
346.0,0.08,16.9,2.8,8.9,4.4
346.0,0.27,30.9,1.8,9.0,4.67
200.0,0.46,20.7,4.3,7.0,5.2
200.0,0.09,13.3,3.6,9.1,5.38
286.0,0.83,31.2,1.3,6.4,4.93
286.0,0.3,42.1,2.4,4.2,4.47
462.5,0.09,30.1,3.8,7.2,4.06
462.5,0.15,24.1,1.6,6.4,3.03
32.0,0.86,27.0,2.5,6.6,10.4
32.0,1.4,40.5,2.9,7.0,17.76
815.0,0.42,36.9,3.6,5.1,5.58
815.0,0.98,42.1,8.1,5.8,5.82
756.0,0.32,28.4,2.4,8.1,4.16
756.0,0.45,21.4,0.5,2.6,1.47
121.0,3.98,33.8,3.9,4.9,14.0
121.0,1.4,37.3,1.9,10.4,10.61
577.0,0.66,40.4,8.2,7.9,7.39
577.0,1.12,28.8,10.3,5.7,6.67
910.0,1.4,23.9,5.7,9.1,6.31
910.0,1.44,38.1,7.4,9.9,7.71
165.0,1.05,41.0,2.4,8.4,8.94
165.0,0.85,40.8,2.6,9.2,8.65
240.0,0.09,17.5,1.7,6.0,3.12
240.0,0.0,24.6,3.6,8.5,4.65
166.0,0.37,24.9,3.7,8.0,5.13
166.0,0.14,13.8,5.2,4.3,3.83
561.0,1.27,35.3,1.9,3.8,3.67
561.0,0.57,35.1,2.6,7.3,4.32
155.0,0.07,26.4,1.7,6.1,4.06
155.0,0.68,14.3,3.4,7.0,5.55
54.0,0.22,42.0,7.6,2.0,15.77
54.0,2.68,30.5,12.0,8.6,24.65
1215.0,0.43,16.2,3.3,7.3,2.85
1215.0,0.15,23.7,3.7,5.5,2.17
303.0,0.06,17.7,2.6,9.2,4.27
303.0,0.06,27.1,1.7,6.0,3.37
682.0,0.97,39.8,3.7,7.7,4.61
682.0,1.05,38.6,0.5,5.7,3.97
235.0,0.36,16.7,2.7,9.1,5.06
235.0,0.24,24.0,2.3,7.0,2.88
210.0,0.08,26.7,4.8,6.3,4.41
210.0,1.69,25.6,4.0,8.1,6.97
200.0,0.59,26.9,5.1,10.1,6.41
200.0,0.25,27.4,2.1,4.7,4.45
166.0,1.35,35.3,1.7,6.2,7.52
166.0,0.48,28.4,2.6,5.2,4.82
1325.0,1.05,13.5,0.5,7.2,3.05
1325.0,0.87,34.3,2.6,5.9,3.14
255.0,0.42,29.2,11.4,7.4,9.6
255.0,0.08,33.9,4.4,4.8,7.33
55.0,0.08,31.3,9.2,7.0,13.91
55.0,3.4,38.7,7.1,7.3,26.22
242.0,0.05,23.7,1.8,5.4,3.25
242.0,0.03,15.5,4.3,10.0,4.63
514.0,0.08,20.7,3.6,3.9,2.39
514.0,0.01,16.6,3.3,6.9,3.25
341.0,1.17,27.9,3.3,6.9,4.91
341.0,2.9,33.2,2.4,7.1,7.19
240.0,0.5,24.2,1.1,7.9,4.49
240.0,0.06,18.4,3.0,7.5,4.1
72.0,1.74,33.1,2.6,8.0,12.46
72.0,1.67,31.2,1.8,8.7,12.33
459.5,0.03,22.0,4.0,10.0,4.73
459.5,0.05,18.5,2.4,5.2,2.84
400.0,0.02,21.9,3.5,6.3,2.9
400.0,0.07,15.3,3.0,4.3,2.6
150.0,1.26,38.9,2.8,6.0,8.85
150.0,2.17,32.4,0.5,6.1,8.07
900.0,0.65,26.9,2.6,7.4,3.76
900.0,0.06,23.2,5.0,8.9,4.1
61.0,2.96,34.0,2.3,4.6,15.85
61.0,1.53,34.2,1.1,8.0,12.39
69.0,0.11,19.6,9.3,8.9,12.87
69.0,0.25,22.5,9.4,9.1,12.72
210.0,1.91,23.2,0.6,5.2,5.19
210.0,0.41,34.7,3.4,9.2,6.32
256.0,1.12,31.5,2.6,8.6,6.39
256.0,1.66,24.4,3.7,7.6,6.92
410.0,0.03,24.8,3.1,7.4,2.97
410.0,0.31,22.2,3.6,5.5,2.25
65.0,0.8,27.4,7.9,9.0,15.4
65.0,0.29,19.9,7.3,8.4,12.1
259.0,0.08,27.3,3.2,8.9,5.15
259.0,0.15,24.3,2.7,6.2,3.34
221.0,0.5,30.7,4.3,8.8,6.5
221.0,0.56,38.9,3.2,7.3,6.54
178.0,0.42,17.0,2.9,6.7,4.2
178.0,0.57,18.8,1.4,8.6,5.68
1067.0,0.57,24.2,4.9,5.3,2.14
1067.0,1.34,23.9,0.8,6.9,3.06
1130.0,0.12,19.8,3.7,6.9,3.15
1130.0,0.24,16.1,2.4,8.1,3.95
375.0,0.02,19.5,2.0,4.2,1.81
375.0,0.11,18.8,2.7,10.3,4.19
160.0,0.06,13.3,0.6,7.0,4.15
160.0,1.08,21.6,1.1,7.5,5.92
850.0,3.11,42.2,5.5,8.7,7.46
850.0,3.18,39.3,9.5,4.4,6.52
525.0,0.2,17.7,2.9,10.3,4.52
525.0,0.05,21.5,2.3,8.1,3.42
50.0,0.27,17.7,3.1,6.9,6.8
50.0,0.12,30.4,2.8,6.3,7.72
202.0,0.22,26.0,2.5,5.4,4.06
202.0,0.0,18.5,3.3,5.6,4.21
70.0,0.22,24.0,2.2,8.0,5.42
70.0,0.22,22.8,2.8,10.3,6.92
306.0,1.31,39.8,1.9,5.8,5.48
306.0,1.95,46.7,3.0,5.8,7.93
1233.0,0.06,15.8,1.4,6.2,2.86
1233.0,0.51,23.9,2.1,7.2,3.4
160.0,0.02,30.7,2.6,5.4,4.33
160.0,0.04,22.7,2.0,7.5,3.95
1288.0,0.07,22.5,3.0,4.2,1.03
1288.0,0.09,18.7,3.2,9.0,3.13
1310.0,1.93,36.0,4.1,6.8,5.05
1310.0,4.5,38.1,7.9,8.7,7.35
439.0,0.85,44.0,2.8,8.1,5.55
439.0,0.52,36.6,3.3,10.3,5.81
573.0,0.09,22.5,3.1,4.5,1.78
573.0,0.01,18.3,3.3,5.9,2.87
1215.0,0.02,36.5,3.1,10.6,4.71
1215.0,0.86,34.1,1.6,6.8,3.62
141.0,1.41,31.4,5.3,5.6,8.1
141.0,1.86,35.3,1.4,7.5,8.46
16.0,0.51,23.4,5.3,9.8,12.5
16.0,2.05,30.2,5.3,7.8,20.6
993.0,0.96,43.2,7.0,5.8,5.55
993.0,0.8,34.6,10.6,8.9,6.65
470.0,0.01,21.0,2.7,6.0,2.79
470.0,0.08,15.7,4.2,4.6,2.53
79.0,0.13,28.4,3.7,8.9,7.31
82.7,0.68,37.1,8.6,8.0,12.49
80.0,2.03,30.3,3.4,7.3,12.52
80.0,0.63,38.6,4.4,7.7,11.02
153.0,0.71,32.7,2.8,7.8,7.87
153.0,0.49,20.7,3.9,5.7,4.6
30.0,0.59,40.3,1.3,6.9,13.24
30.0,1.38,33.6,2.6,8.1,16.08
220.0,0.29,26.3,1.8,7.5,4.75
40.0,0.53,30.9,1.2,8.5,9.31
40.0,2.39,38.7,3.3,5.9,19.41
125.0,0.09,19.3,2.9,7.8,4.32
74.0,0.08,20.7,5.0,6.6,6.23
64.0,0.05,23.6,8.3,8.6,12.35
135.0,0.42,35.3,1.4,6.1,5.71
135.0,0.12,32.2,3.4,8.3,7.11
54.0,1.32,33.8,3.1,7.8,13.54
54.0,2.07,25.0,4.7,8.1,12.99
35.0,0.02,34.7,3.0,8.2,10.68
37.0,0.5,24.1,4.5,5.3,8.8
170.0,0.29,22.0,5.0,5.9,4.44
77.0,1.96,25.6,4.1,10.5,12.69
77.0,0.85,36.0,3.2,7.9,10.81
110.0,1.75,30.5,2.7,6.6,8.83
43.0,0.62,32.6,3.2,6.4,10.64
43.0,0.33,33.6,2.5,7.7,10.29
76.0,0.79,26.0,3.6,8.3,8.06
110.0,0.64,18.8,6.4,7.1,7.22
110.0,1.18,21.0,3.9,6.8,7.1
156.0,0.07,17.8,4.5,6.4,4.21
80.0,0.47,32.2,10.1,5.8,13.42
104.0,0.04,22.9,4.0,6.5,4.54
1350.0,0.56,42.8,2.6,7.7,3.96
1350.0,0.4,36.1,1.3,7.0,2.58
27.0,0.07,17.8,2.5,7.0,6.43
80.0,0.19,20.4,11.8,8.1,12.82
80.0,0.49,12.4,8.5,6.7,12.22
30.0,0.09,12.0,2.5,4.6,5.61
30.0,0.4,34.3,3.8,10.0,13.18
67.0,0.92,37.3,6.9,4.9,15.86
193.0,0.24,12.0,5.8,8.8,5.17
135.0,0.11,29.7,3.1,6.1,5.08
135.0,1.09,28.4,1.9,8.0,7.21
35.0,0.75,42.0,1.4,9.3,15.32
35.0,1.66,32.6,2.0,6.0,14.49
26.0,0.7,30.3,3.2,6.1,11.97
169.0,0.28,33.0,0.5,7.2,5.22
169.0,0.5,33.3,1.7,6.1,5.96
35.0,0.77,41.9,0.5,6.5,13.65
46.0,0.16,22.1,2.8,8.8,6.71
90.0,0.0,28.0,2.6,6.8,4.99
37.0,0.67,22.6,2.2,6.5,7.71
90.0,1.48,30.0,2.1,6.4,9.64
90.0,1.02,28.7,1.3,7.4,8.54
68.0,1.02,31.0,1.7,7.6,10.0
81.0,0.27,23.7,2.2,8.2,5.53
36.0,0.31,16.6,1.4,4.9,5.9
36.0,0.06,19.7,1.6,5.1,4.73
52.0,1.12,38.4,3.0,6.9,12.72
52.0,2.02,40.3,4.0,7.5,17.71
118.0,0.04,13.5,3.4,4.4,3.76
41.0,0.29,19.5,3.3,6.3,6.65
80.0,1.39,44.6,0.5,3.8,11.48
150.0,0.03,31.9,1.0,8.8,5.83
150.0,0.26,17.8,4.1,7.7,5.74
25.0,0.7,30.8,3.5,8.1,13.0
25.0,0.16,27.4,1.5,9.9,9.2
81.0,0.99,27.3,2.7,8.2,8.68
81.0,0.82,35.3,3.1,6.5,10.39
62.0,0.05,15.3,5.8,9.1,7.22
72.5,0.09,28.6,2.5,6.1,6.53
72.5,0.49,12.0,0.8,9.4,6.46
31.0,1.38,30.5,2.1,6.9,13.85
31.0,0.52,24.9,4.9,8.0,9.77
49.0,0.31,24.2,2.7,5.5,6.14
144.0,0.26,22.8,3.3,8.5,4.58
51.0,0.38,18.6,4.0,9.7,8.13
51.0,0.15,17.3,2.3,6.2,5.73
40.0,0.35,20.8,1.2,6.7,6.49
40.0,0.54,18.5,3.8,7.6,8.91
158.0,3.48,45.9,2.5,7.8,14.52
154.0,0.46,22.8,2.0,9.5,5.61
145.0,0.1,25.3,4.0,6.3,5.64
66.0,0.07,20.9,0.5,7.0,5.29
80.0,2.79,30.1,5.8,7.0,18.72
80.0,2.12,36.4,5.7,6.6,18.56
220.0,0.02,24.2,3.9,5.1,3.15
220.0,0.18,20.4,1.4,6.6,4.29
15.0,0.21,26.7,2.0,9.1,10.33
15.0,0.28,25.8,2.0,6.3,8.39
40.0,0.01,20.2,2.5,7.1,5.83
40.0,0.4,22.5,2.6,6.3,7.27
77.0,0.05,30.0,2.5,8.1,6.79
77.0,0.02,35.3,3.6,6.7,7.71
185.0,0.05,12.1,3.4,6.1,4.15
169.0,0.53,24.1,1.7,5.3,3.52
169.0,0.59,31.7,1.1,8.5,6.32
70.0,0.58,29.3,2.4,6.5,7.88
50.0,0.83,38.6,2.5,5.2,12.1
50.0,0.91,39.1,2.2,4.6,11.75
78.0,0.27,24.6,3.8,5.2,5.47
126.0,0.27,28.7,1.7,8.8,6.88
126.0,0.13,25.6,2.1,4.4,3.16
1350.0,0.16,40.6,3.5,8.2,4.44
1350.0,1.87,32.4,3.0,8.8,4.6
150.0,0.21,16.1,4.0,8.5,6.13
18.0,0.31,32.4,0.6,5.3,10.33
24.0,0.22,32.3,1.0,7.7,9.69
30.0,1.47,26.7,1.6,8.2,12.96
30.0,0.44,26.1,2.6,5.3,8.97
30.0,0.64,29.3,1.1,7.3,10.75
30.0,0.23,28.0,4.9,4.2,9.25
30.0,1.04,22.0,2.4,9.1,11.86
30.0,0.59,28.9,2.9,7.9,10.94
25.0,0.24,35.3,1.5,10.3,12.91
25.0,0.03,32.3,1.1,7.6,9.45
120.0,0.54,34.1,2.3,7.7,7.08
120.0,1.19,34.5,1.7,7.3,8.94
13.0,0.18,22.2,1.6,4.4,7.2
13.0,0.07,20.9,2.2,9.8,7.36
54.0,1.5,31.9,4.1,4.3,12.6
54.0,0.59,34.0,4.0,7.6,10.51
33.0,1.29,28.0,3.9,9.2,14.25
33.0,0.33,17.6,4.3,6.5,8.31
62.0,0.17,22.9,2.5,7.4,6.38
